ID_Caso,TipoProceso,MujeresMencionadas,FechaInicial,Fecha_Final
1,Proceso judicial criminal identificable,,1708,1712
2,Proceso judicial criminal identificable,,1727,1727
3,Proceso judicial criminal identificable,1,1770,1770
4,Proceso judicial criminal identificable,,1772,1772
5,Proceso judicial criminal identificable,,1748,1748
6,Proceso judicial criminal identificable,,1771,1773
7,Proceso judicial criminal identificable,,1793,1793
8,Proceso judicial criminal identificable,,1576,1576
9,Proceso judicial criminal identificable,1,1797,1797
10,Proceso judicial criminal identificable,,1799,1801
11,Proceso judicial criminal identificable,,1586,1586
12,Proceso judicial criminal identificable,,1583,1742
13,Proceso judicial criminal identificable,,1573,1573
14,Proceso judicial criminal identificable,,1600,1600
15,Proceso judicial criminal identificable,,1780,1780
16,Proceso judicial criminal identificable,1,1805,1805
17,Proceso judicial criminal identificable,,1638,1638
18,Proceso judicial criminal identificable,,1614,1614
19,Proceso judicial criminal identificable,,1605,1605
20,Proceso judicial criminal identificable,,1655,1655
21,Proceso judicial criminal identificable,,1622,1622
22,Proceso judicial criminal identificable,1,1622,1622
23,No es un proceso penal con delito identificable,,1655,1655
24,Proceso judicial criminal identificable,1,1809,1809
25,No es un proceso penal con delito identificable,,1809,1809
26,No es un proceso penal con delito identificable,,1808,1808
27,Proceso judicial criminal identificable,,1760,1760
28,Proceso judicial criminal identificable,,1625,1625
29,Proceso judicial criminal identificable,1,1627,1627
30,Proceso judicial criminal identificable,,1613,1613
31,Proceso judicial criminal identificable,1,1779,1779
32,Proceso judicial criminal identificable,,1681,1681
33,Proceso judicial criminal identificable,,1809,1809
34,No es un proceso penal con delito identificable,,1799,1799
35,Proceso judicial criminal identificable,1,1626,1626
36,No es un proceso penal con delito identificable,,1772,1772
37,Proceso judicial criminal identificable,,1807,1807
38,Proceso judicial criminal identificable,,1809,1809
39,Proceso judicial criminal identificable,,1654,1654
40,Proceso judicial criminal identificable,,1806,1806
41,Proceso judicial criminal identificable,1,1807,1807
42,Proceso judicial criminal identificable,,1624,1624
43,Proceso judicial criminal identificable,,1773,1773
44,Proceso judicial criminal identificable,1,1806,1806
45,Proceso judicial criminal identificable,1,1806,1806
46,Proceso judicial criminal identificable,,1769,1769
47,Proceso judicial criminal identificable,1,1805,1805
48,Proceso judicial criminal identificable,1,1637,1637
49,Proceso judicial criminal identificable,,1729,1729
50,Proceso judicial criminal identificable,1,1677,1677
51,No es un proceso penal con delito identificable,,1584,1584
52,Proceso judicial criminal identificable,,1806,1806
53,Proceso judicial criminal identificable,,1801,1801
54,Proceso judicial criminal identificable,,1638,1638
55,Proceso judicial criminal identificable,1,1638,1638
56,Proceso judicial criminal identificable,1,1602,1602
57,Proceso judicial criminal identificable,1,1803,1803
58,Proceso judicial criminal identificable,1,1807,1807
59,No es un proceso penal con delito identificable,,1796,1796
60,Proceso judicial criminal identificable,,1788,1788
61,Proceso judicial criminal identificable,,1576,1576
62,Proceso judicial criminal identificable,1,1610,1610
63,Proceso judicial criminal identificable,,1640,1640
64,Proceso judicial criminal identificable,,1571,1571
65,Proceso judicial criminal identificable,,1595,1595
66,No es un proceso penal con delito identificable,,1787,1787
67,Proceso judicial criminal identificable,,1808,1808
68,Proceso judicial criminal identificable,1,1801,1801
69,Proceso judicial criminal identificable,,1626,1626
70,Proceso judicial criminal identificable,,1763,1763
71,Proceso judicial criminal identificable,,1805,1805
72,Proceso judicial criminal identificable,,1769,1769
73,Proceso judicial criminal identificable,,1750,1750
74,Proceso judicial criminal identificable,1,1647,1647
75,Proceso judicial criminal identificable,,1809,1809
76,Proceso judicial criminal identificable,1,1806,1809
77,Proceso judicial criminal identificable,,1792,1792
78,Proceso judicial criminal identificable,,1630,1630
79,Proceso judicial criminal identificable,,1808,1808
80,Proceso judicial criminal identificable,1,1757,1757
81,Proceso judicial criminal identificable,,1790,1790
82,Proceso judicial criminal identificable,,1759,1759
83,Proceso judicial criminal identificable,,1793,1793
84,Proceso judicial criminal identificable,1,1804,1804
85,Proceso judicial criminal identificable,1,1592,1592
86,Proceso judicial criminal identificable,,1793,1793
87,Proceso judicial criminal identificable,,1738,1738
88,Proceso judicial criminal identificable,,1760,1760
89,Proceso judicial criminal identificable,,1628,1628
90,Proceso judicial criminal identificable,,1628,1628
91,Proceso judicial criminal identificable,,1624,1624
92,Proceso judicial criminal identificable,,1809,1809
93,Proceso judicial criminal identificable,,1776,1776
94,Proceso judicial criminal identificable,,1751,1751
95,Proceso judicial criminal identificable,1,1675,1675
96,No es un proceso penal con delito identificable,,1802,1802
97,Proceso judicial criminal identificable,,1684,1684
98,Proceso judicial criminal identificable,1,1621,1621
99,Proceso judicial criminal identificable,,1624,1624
100,Proceso judicial criminal identificable,1,1613,1613
101,Proceso judicial criminal identificable,,1640,1640
102,Proceso judicial criminal identificable,,1626,1626
103,Proceso judicial criminal identificable,,1808,1808
104,Proceso judicial criminal identificable,,1798,1798
105,Proceso judicial criminal identificable,1,1807,1807
106,Proceso judicial criminal identificable,1,1648,1648
107,No es un proceso penal con delito identificable,,1652,1652
108,Proceso judicial criminal identificable,,1802,1802
109,Proceso judicial criminal identificable,,1788,1788
110,Proceso judicial criminal identificable,,1582,1582
111,Proceso judicial criminal identificable,,1627,1627
112,Proceso judicial criminal identificable,,1793,1793
113,Proceso judicial criminal identificable,,1794,1794
114,Proceso judicial criminal identificable,,1810,1810
115,Proceso judicial criminal identificable,,1796,1807
116,Proceso judicial criminal identificable,,1800,1800
117,Proceso judicial criminal identificable,1,1651,1651
118,Proceso judicial criminal identificable,1,1798,1798
119,Proceso judicial criminal identificable,,1803,1803
120,Proceso judicial criminal identificable,1,1799,1799
121,Proceso judicial criminal identificable,,1791,1791
122,Proceso judicial criminal identificable,1,1740,1740
123,Proceso judicial criminal identificable,,1791,1791
124,No es un proceso penal con delito identificable,,1805,1805
125,Proceso judicial criminal identificable,,1635,1635
126,Proceso judicial criminal identificable,,1795,1795
127,Proceso judicial criminal identificable,,1793,1793
128,Proceso judicial criminal identificable,,1643,1643
129,Proceso judicial criminal identificable,1,1630,1630
130,Proceso judicial criminal identificable,,1789,1789
131,Proceso judicial criminal identificable,,1750,1750
132,No es un proceso penal con delito identificable,,1794,1794
133,Proceso judicial criminal identificable,1,1656,1656
