ID_Agente,ID_Caso,Agente,Atributo,Género,Calidad,Labor,Relación_crímenes,Conteo_mínimo,Tipo_Institución,Doble_Atributo,RCDA,Proceso,
IDA1,1,Persona,Perpetrador,Hombre,Sin especificar,Político del Estado,"1A, 1B, 1C",,null,Víctima,1D,Contrademanda,
IDA2,1,Persona,Perpetrador,Indeterminado,Indeterminado,Indeterminado,"1B,1D",1,null,null,,,
IDA3,1,Persona,Perpetrador,Hombre,Sin especificar,Político del Estado,1C,,null,null,,,
IDA4,2,Persona,Perpetrador,Hombre,Sin especificar,Político del Estado,2A,1,null,,,,
IDA5,2,Persona,Perpetrador,Hombre,Sin especificar,Político del Estado,2A,1,null,,,,
IDA6,2,Persona,Perpetrador,Hombre,Sin especificar,Político del Estado,2A,1,null,,,,
IDA7,3,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3A,,null,,,,
IDA8,3,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3A,,null,,,,
IDA9,4,Persona,Perpetrador,Hombre,Sin especificar,Fuerza armada,4A,,null,,,,
IDA10,4,Persona,Víctima,Hombre,Sin especificar,Fuerza armada,4A,,null,,,,
IDA11,5,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,5A,,null,,,,
IDA12,5,Persona,Víctima,Hombre,Sin especificar,Político del Estado,5A,,null,,,,
IDA13,6,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,6A,,null,,,,
IDA14,6,Persona,Víctima,Hombre,Sin especificar,Sin especificar,6A,,null,,,,
IDA15,7,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,"7A, 7B, 7C, 7D, 7E, 7F, 7G",,null,,,,
IDA16,7,Institución,Víctima,null,null,null,"7A, 7B",,La autoridad,,,,
IDA17,7,Persona,Víctima,Indeterminado,Indeterminado,Indeterminado,"7C, 7D, 7E",1,null,,,,
IDA18,8,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,8A,,null,,,,
IDA19,8,Persona,Víctima,Hombre,Sin especificar,Sin especificar,8A,,null,,,,
IDA20,9,Persona,Perpetrador,Hombre,Sin especificar,Fuerza armada,9A,,null,,,,
IDA21,9,Persona,Víctima,Mujer,Sin especificar,Sin especificar,9A,,null,,,,
IDA22,10,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,"10A, 10C",,null,,,,
IDA23,10,Persona,Perpetrador,Hombre,Sin especificar,Político del Estado,10B,,null,null,10B,,
IDA24,10,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,10B,,null,Víctima,10B,,
IDA25,10,Persona,Víctima,Hombre,Sin especificar,Político del Estado,10C,,null,,,,
IDA26,11,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,11A,,null,,,,
IDA27,11,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,11A,,null,,,,
IDA28,11,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,11A,,null,,,,
IDA29,11,Persona,Víctima,Hombre,Sin especificar,Sin especificar,11A,,null,,,,
