ID_Caso,ID_Crímen,Descripción
1,1A,"**Juicio de residencia** seguido por José López Carvajal, Gobernador de Antioquia, a Francisco Fernández de Heredia, su inmediato antecesor, y cargos que del juicio dedujeron contra éste."
1,1B,"Juicio de residencia de Francisco Fernández de Heredia, ex-gobernador de Antioquia, seguido por José López de Carvajal, su sucesor y peticiones que hizo el residenciado sobre la estrechez de su prisión, **ultrajes**, **vejaciones **y embargo de sus bienes."
1,1C,"Juicio de residencia seguido por José López de Carvajal, Gobernador de Antioquia, a Francisco Fernández de Heredia, su antecesor, y demanda de éste contra aquel, por su **parcialidad e inquina en el ejercicio de tal judicatura**."
1,1D,"Demanda de Francisco Fernández de Heredia, ex-gobernador de Antioquia, contra José López de Carvajal, gobernador de la misma, sobre que se le devolvieran los **bienes de que éste lo despojó**, en el juicio de residencia que le siguió."
1,1E,"Juicio de residencia de Francisco Fernández de Heredia, ex-gobernador de Antioquia, seguido por José López de Carvajal, su sucesor y **peticiones que hizo el residenciado sobre la estrechez de su prisión**, ultrajes, vejaciones y embargo de sus bienes."
1,1F,"**Real provisión** sobre el juicio de residencia, seguido a Francisco Fernández de Heredia, exgobernador de Antioquia."
2,2A,"**Juicio de residencia** seguido por Gaspar de Guiral y Urrutigoyti, Gobernador de Antioquia, a José de Yarza, su antecesor, y a quienes con éste compartieron las funciones y responsabilidades de la gobernación."
3,3A,"Juicio seguido a Victoriano Uscátegui, por **heridas **causadas a Juana Jacinta García Sarmiento"
3,3B,"Sumario instruido a Victorino Uscátegui, por heridas causadas a Juana Jacinta García Sarmiento."
4,4A,"Causa seguida a Pedro Hernández, por **heridas **causadas a Antonio del Castillo, ambos soldados de la guarnición de Cartagena"
5,5A,"Carta con **desacatos **de José Florencia para Manuel Moreno, Corregidor de Guayaquil, y orden de prisión que éste dio contra aquel."
6,6A,"Demanda de Francisco Peroso de Cervantes contra Francisco Avila, por **injurias**"
6,6B,"**Nota **del alcalde de Villeta, remisoria del proceso de Antonio de Avila."
6,6C,"Causa seguida a Francisco José de Avila, por haber injuriado a Francisco Peroso."
6,6D,"Demanda de Francisco Peroso contra Francisco Antonio de Avila, por injurias."
6,6E,"Demanda de Francisco Peroso contra Francisco José de Avila, por injurias."
6,6F,"Pruebas presentadas por Francisco Peroso, en su demanda por injurias, contra Francisco José de Avila."
7,7A,"**Causa seguida a José María Reyes, por desacato**, burla, agresión verbal y física con armas corto punzantes, reincidentes fugas de la prisión **e inobediencia a la autoridad en varias ocasiones (1)**"
7,7B,"**Causa seguida a José María Reyes, por desacato**, burla, agresión verbal y física con armas corto punzantes, reincidentes fugas de la prisión **e inobediencia a la autoridad en varias ocasiones (2)**"
7,7C,"Causa seguida a José María Reyes, por desacato, **burla,** agresión verbal y física con armas corto punzantes, reincidentes fugas de la prisión e inobediencia a la autoridad en varias ocasiones"
7,7D,"Causa seguida a José María Reyes, por desacato, burla**, agresión verbal** y física con armas corto punzantes, reincidentes fugas de la prisión e inobediencia a la autoridad en varias ocasiones"
7,7E,"Causa seguida a José María Reyes, por desacato, burla,** agresión** verbal y **física con armas corto punzantes**, reincidentes fugas de la prisión e inobediencia a la autoridad en varias ocasiones"
7,7F,"Causa seguida a José María Reyes, por desacato, burla, agresión verbal y física con armas corto punzantes,** reincidentes fugas de la prisión (1)** e inobediencia a la autoridad en varias ocasiones"
7,7G,"Causa seguida a José María Reyes, por desacato, burla, agresión verbal y física con armas corto punzantes,** reincidentes fugas de la prisión** **(2)** e inobediencia a la autoridad en varias ocasiones"
8,8A,"Juicio seguido a Francisco López Mejía, por **ultrajes **de palabra a Alonso Rodríguez de Mercado"
9,9A,"Sumario instruído al Teniente Antonio Alaíx, en virtud del denuncio de Francisco Rodríguez, de haberle **seducido **a Ventura Pérez Rodríguez, su sobrina"
10,10A,"Causa criminal seguida a José de Echandía, por varios delitos y **excesos **y querella que presentó contra don Juan Antonio de Olca Alcalde de Neiva, por considerar parcial su actuación en la causa que le siguió."
10,10B,"Causa criminal seguida a José de Echandía, por varios delitos y excesos y querella que presentó contra don Juan Antonio de Olca Alcalde de Neiva, por considerar **parcial su actuación en la causa **que le siguió."
10,10C,"Demanda de Juan Antonio Olea contra José de Echandía, por **injurias**."
10,10D,"Causa criminal seguida a José de Echandía, **por varios delitos** y excesos y querella que presentó contra don Juan Antonio de Olca Alcalde de Neiva, por considerar parcial su actuación en la causa que le siguió."
11,11A,"Causa seguida a Pedro Machuca, Hernando de Miranda y Juan Cabrera, por haber **despojado **a Pedro de Castillo, de indios e indias de su encomienda."
