ID_Lugar,Lugar,Latitud,Longitud,Clasificación,País_Contemporáneo,Notas
LID1,Aguachica,8.314519,-73.601915,Municipio,Colombia,null
LID2,Aipe,3.221756,-75.236978,Municipio,Colombia,null
LID3,Almaguer,1.914724,-76.854366,Municipio,Colombia,null
LID4,Alpujarra,3.390881,-74.932552,Municipio,Colombia,null
LID6,Altagracia de Sutagaos (Fusagasugá),4.343754,-74.361925,Municipio,Colombia,null
LID7,Ambalema,4.780986,-74.764735,Municipio,Colombia,null
LID8,Ambato,-1.259750,-78.626677,Municipio,Ecuador,null
LID9,Anapoima,4.558702,-74.528114,Municipio,Colombia,null
LID10,Anolaima,4.761674,-74.465124,Municipio,Colombia,null
LID11,Anserma,5.235969,-75.784942,Municipio,Colombia,null
LID12,Antioquia ,6.239776310094802,-75.35774652720208,Departamento/Provincia,Colombia,null
LID13,Carmen de Apicalá,4.147890,-74.722571,Municipio,Colombia,null
LID14,Aratoca,6.694630,-73.018781,Municipio,Colombia,null
LID15,Arauca,7.087561,-70.757888,Municipio,Colombia,null
LID16,Arboledas,7.642714,-72.799654,Municipio,Colombia,null
LID17,Archidona,-0.914026,-77.809052,Municipio,Ecuador,null
LID18,Arjona,10.254266,-75.339061,Municipio,Colombia,null
LID19,Ataco,3.590453,-75.383172,Municipio,Colombia,null
LID20,Ayapel,8.315185,-75.140411,Municipio,Colombia,null
LID21,Bacapí,5.5311636368515975,-74.10508498265833,Cambio histórico,Colombia,"Hoy Muzo, Boyacá"
LID22,Baranoa,10.789836,-74.915850,Municipio,Colombia,null
LID23,Barbacoas,1.672032,-78.138566,Municipio,Colombia,null
LID24,Barichara,6.635778,-73.223372,Municipio,Colombia,null
LID25,Barinas,8.619970542063843,-70.23477617800202,Municipio,Venezuela,null
LID26,Barlovento,10.434051643040474,-66.76686102618314,Región,Venezuela,Hoy zona costera del estado Miranda
LID27,Barranca del Rey,7.061188952410899,-73.85432865642089,Cambio histórico,Colombia,Posiblemente Barrancabermeja
LID28,Barranquilla,10.979871,-74.777481,Municipio,Colombia,null
LID29,Barrigablanca,9.104396588053106,-75.39974590870925,Sitio espesifíco,Colombia,Hacienda en el municipio de Chinú
LID30,Bebará,6.100667312902748,-76.58335854230081,Sitio espesifíco,Colombia,Río en Chocó
LID31,Beltrán,4.800172,-74.742673,Municipio,Colombia,null
LID32,Betéitiva,5.910859,-72.808926,Municipio,Colombia,null
LID33,Bituima,4.872082,-74.539222,Municipio,Colombia,null
LID34,Boavita,6.329346,-72.585467,Municipio,Colombia,null
LID35,Bocachica,10.326301959407052,-75.57802649747299,Sitio espesifíco,Colombia,Fuerte en Cartagena
LID36,Bochalema,7.612230,-72.647062,Municipio,Colombia,null
LID37,Bojacá,4.732315,-74.341759,Municipio,Colombia,null
LID38,Bosa,4.623801878443382,-74.19644955093378,Sitio espesifíco,Colombia,Hoy localidad de Bogotá
LID39,Boyacá ,5.4538279635374565,-73.36216924679208,Municipio,Colombia,null
LID40,Bucaramanga,7.119749,-73.122745,Municipio,Colombia,null
LID41,Buchadó,6.591580660738845,-76.87589369929415,Sitio espesifíco,Colombia,Hoy Villa en Vigia del fuerte en Antioquia
LID42,Buenavista,5.511793,-73.943159,Municipio,Colombia,null
LID43,Buenavista del Escobar,null,null,Ilocalizable,Ilocalizable,Hacienda Buenavista de Escobar
LID44,Buga,3.903836,-76.295413,Municipio,Colombia,null
