ID_Caso,ID_Documento,Archivo,Código_Referencia,Sección,Fondo,Legajo,Documento,Folios,Número_Folios,Source
1,1A,AGN,SC.19,Colonia,Criminales (Juicios),115,9,789-894,30+,AGNSC.191159789-8941A
1,1B,AGN,SC.19,Colonia,Criminales (Juicios),1,1,1-12,30+,AGNSC.19111-121B
1,1C,AGN,SC.19,Colonia,Criminales (Juicios),117,8,605-691,30+,AGNSC.191178605-6911C
1,1D,AGN,SC.19,Colonia,Criminales (Juicios),117,9,692-780,30+,AGNSC.191179692-7801D
1,1E,AGN,SC.19,Colonia,Criminales (Juicios),1,1,1-12,30+,AGNSC.19111-121E
1,1F,AGN,SC.19,Colonia,Criminales (Juicios),90,24,706-756,30+,AGNSC.199024706-7561F
2,2A,AGN,SC.19,Colonia,Criminales (Juicios),1,2,13-121,30+,AGNSC.191213-1212A
3,3A,AGN,SC.19,Colonia,Criminales (Juicios),1,4,154-304,30+,AGNSC.1914154-3043A
3,3B,AGN,SC.19,Colonia,Criminales (Juicios),216,15,579-772,30+,AGNSC.1921615579-7723B
4,4A,AGN,SC.19,Colonia,Criminales (Juicios),1,5,305-336,30+,AGNSC.1915305-3364A
5,5A,AGN,SC.19,Colonia,Criminales (Juicios),1,6,337-342,4-30,AGNSC.1916337-3425A
6,6A,AGN,SC.19,Colonia,Criminales (Juicios),1,7,343-347,30+,AGNSC.1917343-3476A
6,6B,AGN,SC.19,Colonia,Criminales (Juicios),88,8,175-177,30+,AGNSC.19888175-1776B
6,6C,AGN,SC.19,Colonia,Criminales (Juicios),120,20,664-717,30+,AGNSC.1912020664-7176C
6,6D,AGN,SC.19,Colonia,Criminales (Juicios),121,5,849-911,30+,AGNSC.191215849-9116D
6,6E,AGN,SC.19,Colonia,Criminales (Juicios),216,10,407-419,4-30,AGNSC.1921610407-4196E
6,6F,AGN,SC.19,Colonia,Criminales (Juicios),216,16,773-848,30+,AGNSC.1921616773-8486F
7,7A,AGN,SC.19,Colonia,Criminales (Juicios),1,9,382-548,30+,AGNSC.1919382-5487A
7,7B,AGN,SC.19,Colonia,Criminales (Juicios),1,9,382-548,30+,AGNSC.1919382-5487B
7,7C,AGN,SC.19,Colonia,Criminales (Juicios),1,9,382-548,30+,AGNSC.1919382-5487C
7,7D,AGN,SC.19,Colonia,Criminales (Juicios),1,9,382-548,30+,AGNSC.1919382-5487D
7,7E,AGN,SC.19,Colonia,Criminales (Juicios),1,9,382-548,30+,AGNSC.1919382-5487E
7,7F,AGN,SC.19,Colonia,Criminales (Juicios),1,9,382-548,30+,AGNSC.1919382-5487F
7,7G,AGN,SC.19,Colonia,Criminales (Juicios),1,9,382-548,30+,AGNSC.1919382-5487G
8,8A,AGN,SC.19,Colonia,Criminales (Juicios),1,10,549-637,30+,AGNSC.19110549-6378A
9,9A,AGN,SC.19,Colonia,Criminales (Juicios),1,11,638-642,4-30,AGNSC.19111638-6429A
10,10A,AGN,SC.19,Colonia,Criminales (Juicios),1,12,643-805,30+,AGNSC.19112643-80510A
10,10B,AGN,SC.19,Colonia,Criminales (Juicios),1,12,643-805,30+,AGNSC.19112643-80510B
10,10C,AGN,SC.19,Colonia,Criminales (Juicios),128,5,676-716,30+,AGNSC.191285676-71610C
10,10D,AGN,SC.19,Colonia,Criminales (Juicios),1,12,643-805,30+,AGNSC.19112643-80510D
11,11A,AGN,SC.19,Colonia,Criminales (Juicios),1,13,806-845,4-30,AGNSC.19113806-84511A
12,12A,AGN,SC.19,Colonia,Criminales (Juicios),1,14,846-1147,30+,AGNSC.19114846-114712A
13,13A,AGN,SC.19,Colonia,Criminales (Juicios),2,1,1-339,30+,AGNSC.19211-33913A
13,13B,AGN,SC.19,Colonia,Criminales (Juicios),2,1,1-339,30+,AGNSC.19211-33913B
14,14A,AGN,SC.19,Colonia,Criminales (Juicios),2,2,340-538,30+,AGNSC.1922340-53814A
15,15A,AGN,SC.19,Colonia,Criminales (Juicios),2,3,539-615,30+,AGNSC.1923539-61515A
16,16A,AGN,SC.19,Colonia,Criminales (Juicios),2,4,616-662,4-30,AGNSC.1924616-66216A
17,17A,AGN,SC.19,Colonia,Criminales (Juicios),2,5,663,1-3,AGNSC.192566317A
18,18A,AGN,SC.19,Colonia,Criminales (Juicios),2,6,664-684,4-30,AGNSC.1926664-68418A
18,18B,AGN,SC.19,Colonia,Criminales (Juicios),2,6,664-684,4-30,AGNSC.1926664-68418B
19,19A,AGN,SC.19,Colonia,Criminales (Juicios),2,7,685-710,4-30,AGNSC.1927685-71019A
20,20A,AGN,SC.19,Colonia,Criminales (Juicios),2,8,711-714,1-3,AGNSC.1928711-71420A
20,20B,AGN,SC.19,Colonia,Criminales (Juicios),2,8,711-714,1-3,AGNSC.1928711-71420B
20,20C,AGN,SC.19,Colonia,Criminales (Juicios),2,8,711-714,1-3,AGNSC.1928711-71420C
21,21A,AGN,SC.19,Colonia,Criminales (Juicios),2,9,715-734,4-30,AGNSC.1929715-73421A
22,22A,AGN,SC.19,Colonia,Criminales (Juicios),2,10,735-741,4-30,AGNSC.19210735-74122A
23,23A,AGN,SC.19,Colonia,Criminales (Juicios),2,11,742-746,4-30,AGNSC.19211742-74623A
24,24A,AGN,SC.19,Colonia,Criminales (Juicios),2,12,747-753,4-30,AGNSC.19212747-75324A
24,24B,AGN,SC.19,Colonia,Criminales (Juicios),2,12,747-753,4-30,AGNSC.19212747-75324B
24,24C,AGN,SC.19,Colonia,Criminales (Juicios),2,12,747-753,4-30,AGNSC.19212747-75324C
25,25A,AGN,SC.19,Colonia,Criminales (Juicios),2,13,754-757,1-3,AGNSC.19213754-75725A
25,25B,AGN,SC.19,Colonia,Criminales (Juicios),2,13,754-757,1-3,AGNSC.19213754-75725B
26,26A,AGN,SC.19,Colonia,Criminales (Juicios),2,14,758-766,4-30,AGNSC.19214758-76626A
26,26B,AGN,SC.19,Colonia,Criminales (Juicios),2,14,758-766,4-30,AGNSC.19214758-76626B
27,27A,AGN,SC.19,Colonia,Criminales (Juicios),2,15,767-769 ,1-3,AGNSC.19215767-769 27A
27,27B,AGN,SC.19,Colonia,Criminales (Juicios),2,15,767-769 ,1-3,AGNSC.19215767-769 27B
28,28A,AGN,SC.19,Colonia,Criminales (Juicios),2,16,770-784,4-30,AGNSC.19216770-78428A
29,29A,AGN,SC.19,Colonia,Criminales (Juicios),2,18,815-820,4-30,AGNSC.19218815-82029A
