"ID_Agente","ID_Caso","Agente","Atributo","Género","Calidad","Labor","ID_Documento","Código","Nombre_Codigo","Sub_Código","Nombre_Sub_Codigo","Año","Lugar","Source"
"ACJ18","11","Persona","Víctima","Hombre","Sin especificar","Sin especificar","11A","18","Financiero","18.7","Embargo","1586","Mérida","AGNSC.19113806-84511A"
"ACJ19","11","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","11A","18","Financiero","18.7","Embargo","1586","Mérida","AGNSC.19113806-84511A"
"ACJ20","11","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","11A","18","Financiero","18.7","Embargo","1586","Mérida","AGNSC.19113806-84511A"
"ACJ205","100","Persona","Víctima","Mujer","Sin especificar","Sin especificar","100A","18","Financiero","18.1",NULL,"1613","Guachetá","AGNSC.195385-95100A"
"ACJ206","100","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","100A","18","Financiero","18.1",NULL,"1613","Guachetá","AGNSC.195385-95100A"
"ACJ207","101","Persona","Víctima","Hombre","Sin especificar","Sin especificar","101A","1","Homicidio","1.1","Homicidio","1640","Santafé (Bogotá)","AGNSC.195496-145101A"
"ACJ208","101","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","101A","1","Homicidio","1.1","Homicidio","1640","Santafé (Bogotá)","AGNSC.195496-145101A"
"ACJ209","101","Persona","Cómplice","Sin información","Sin especificar","Sin especificar","101A","1","Homicidio","1.1","Homicidio","1640","Santafé (Bogotá)","AGNSC.195496-145101A"
"ACJ21","11","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","11A","18","Financiero","18.7","Embargo","1586","Mérida","AGNSC.19113806-84511A"
"ACJ210","101","Persona","Cómplice","Sin información","Sin especificar","Sin especificar","101A","1","Homicidio","1.1","Homicidio","1640","Santafé (Bogotá)","AGNSC.195496-145101A"
"ACJ211","102","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","102A","18","Financiero","18.1",NULL,"1626","Santafé (Bogotá)","AGNSC.1955146-237102A"
"ACJ212","103","Persona","Víctima","Sin información","Sin especificar","Sin especificar","103A","20","Robo","20.1","Robo","1808","null","AGNSC.1956238-299103A"
"ACJ2126","1000","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1000A","1","Homicidio","1.1","Homicidio","1809","Vélez","AGNSC.194835843-8791000A"
