"ID_Caso","ID_Documento","Descripción","Código","Sub_Código","Año","Lugar","Especificaciones","Source","crimen","subcrimen"
"1000","1000A","Proceso de Antonio Jiménez y Jérez, quien dio muerte a José María García, en la población de Santa Ana, de la jurisdicción de Vélez","1","1.1","1809","Vélez","Perfectos","AGNSC.194835843-8791000A","Homicidio","Homicidio"
"1001","1001A","Causa seguida a Antonio de León Zárate, alcaide de la cárcel de San Gil, por presunta complicidad de la fuga de cinco reos, tres de ellos condenados a la pena capital.","21","21.2","1799","San Gil","Perfectos","AGNSC.194836880-9441001A","Fuga (e intento) (incluye carcel, exilio o juicio) ","Ayudar a alguien a fugarse"
"1001","1001B","Causa seguida a Antonio de León Zárate, alcaide de la cárcel de San Gil, por presunta complicidad de la fuga de cinco reos, tres de ellos condenados a la pena capital.","21","21.1","1799","San Gil","Perfectos","AGNSC.194836880-9441001B","Fuga (e intento) (incluye carcel, exilio o juicio) ","Fuga o intento de fuga (de cárcel, de exilio, etc)"
"1001","1001C","Causa seguida a Antonio de León Zárate, alcaide de la cárcel de San Gil, por presunta complicidad de la fuga de cinco reos, tres de ellos condenados a la pena capital.","33",,"1799","San Gil","Ambiguos","AGNSC.194836880-9441001C","Ambiguos","Delitos"
"1002","1002A","Demanda ante Agustín Borrel, Alcalde de Vélez, de Juan Antonio Murillo, por el adulterio con Manuela de Angulo, su mujer, contra Rafael Camacho, quien contrademandó por agravios al mencionado Murillo","10","10.2","1795","Vélez","Contrademanda","AGNSC.194837945-9781002A","Concubinato","Adulterio"
"1002","1002B","Demanda ante Agustín Borrel, Alcalde de Vélez, de Juan Antonio Murillo, por el adulterio con Manuela de Angulo, su mujer, contra Rafael Camacho, quien contrademandó por agravios al mencionado Murillo","16","16.2","1795","Vélez","Contrademanda","AGNSC.194837945-9781002B","Injuria","Agravios"
"1002","1002C","Petición judicial de Rafael Camacho, en su demanda por injurias contra Juan Antonio Murillo","28","28.1","1796","Santafé (Bogotá)","Códigos señalados","AGNSC.19526997-9981002C","Tipo de documento diferente a sumario ","Peticiones y solicitudes"
"1003","1003A","Demanda de Francisco Javier García contra Tomás de Mendoza, por injurias.","16","16.1","1776","Pacho","Perfectos","AGNSC.1948401008-10101003A","Injuria","Injuria"
"1004","1004A","Juicio seguido a Facundo Pinzón y Bernal, Carlos Morales, Pedro Lagos y otros, por motín que encabezaron contra Rafael Conde, nombrado y confirmado para alcalde de Moniquirá.","25","25.1","1802","Moniquirá","Perfectos","AGNSC.194911-1501004A","Sublevación","Sublevación"
"1005","1005A","Causa seguida a Domingo Cómbita, natural de Tasco, por el delito de bestialidad","13","13.1","1806","Tasco","Perfectos","AGNSC.19493207-2571005A","Bestialidad","Bestialidad"
"1006","1006A","Sumario instruido en virtud de testimonio ocular de José Antonio Monzón, alcalde del barrio de Santa Bárbara, a Juan Enrique Caviedes y a María Josefa de los Dolores Gómez, su hijastra, por relaciones incestuosas; a Bárbara Gómez, mujer de Caviedes y a Juan Francisco Duarte, por adulterio","9","9.3","1807","Santafé (Bogotá)","Decisión metodológica","AGNSC.19495260-3491006A","Estupro","Incesto"
"1007","1007A","Sumario instruido en virtud de testimonio ocular de José Antonio Monzón, alcalde del barrio de Santa Bárbara, a Juan Enrique Caviedes y a María Josefa de los Dolores Gómez, su hijastra, por relaciones incestuosas; a Bárbara Gómez, mujer de Caviedes y a Juan Francisco Duarte, por adulterio","10","10.2","1807","Santafé (Bogotá)","Decisión metodológica","AGNSC.19495260-3491007A","Concubinato","Adulterio"
"1008","1008A","Causa que se les siguió a Juan Agustín y Bernardo de Silva por haber injuriado y herido a Diego de la Parra, vecino de Monguí","16","16.1","1760","Monguí","Perfectos","AGNSC.19496350-5681008A","Injuria","Injuria"
"1008","1008B","Causa que se les siguió a Juan Agustín y Bernardo de Silva por haber injuriado y herido a Diego de la Parra, vecino de Monguí","4","4.1","1760","Monguí","Perfectos","AGNSC.19496350-5681008B","Violencia","Heridas"
"1009","1009A","Sumario instruido a Diego Mejía de la Barrera, por el homicidio de Juana González, ejecutado en Cucutá, y petición de indulto que hizo, acogiéndose a una Real Cédula","1","1.1","1656","Cúcuta","Perfectos","AGNSC.19497569-5971009A","Homicidio","Homicidio"
"1009","1009B","Sumario instruido a Diego Mejía de la Barrera, por el homicidio de Juana González, ejecutado en Cucutá, y petición de indulto que hizo, acogiéndose a una Real Cédula","35","35.1","1656","Cúcuta","Códigos señalados","AGNSC.19497569-5971009B","Petición de indulto","Indulto"
"100","100A","Demanda de Andrés Pardo, Gobernador de Guachetá, de la encomienda de Isabel de Leguizamón, contra Juan de Vargas, quien tenía a su servicio, contra la voluntad de Pardo, a Luisa mujer de éste.","18","18.1","1613","Guachetá","Perfectos","AGNSC.195385-95100A","Financiero",NULL
"1010","1010A","Real provisión iniciativa para los jueces del Rosario de Cúcuta, pedida por Bernardo Laborda, súbdito francés, a fin de que se dictara auto de proceder contra Cristóbal y Antonio María Ramírez, quienes lo agredieron e hirieron","4","4.1","1800","Villa del Rosario","Perfectos","AGNSC.19498598-6021010A","Violencia","Heridas"
"1011","1011A","Causa que se le siguió a José Ignacio Palencia, en la población de San Miguel, por robo de ganados, y excarcelación que solicito dando fiadores solventes.","20","20.1","1808","San Miguel","Perfectos","AGNSC.19499603-7131011A","Robo","Robo"
"1011","1011B","Causa que se le siguió a José Ignacio Palencia, en la población de San Miguel, por robo de ganados, y excarcelación que solicito dando fiadores solventes.","35","35.2","1808","San Miguel","Códigos señalados","AGNSC.19499603-7131011B","Petición de indulto","Excarcelación"
"1012","1012A","Sumario instruido por Joaquín José Rizo, alcalde de Ocaña, a José Julián Cortés, por vago y pernicioso.","22","22.1","1801","Ocaña","Perfectos","AGNSC.194910714-7371012A","Vagancia","Vagancia"
"1012","1012B","Sumario instruido por Joaquín José Rizo, alcalde de Ocaña, a José Julián Cortés, por vago y pernicioso.","22","22.7","1801","Ocaña","Perfectos","AGNSC.194910714-7371012B","Vagancia","Pernicioso"
"1013","1013A","Causa seguida Manuel Villarreal, por estupro incestuoso con María Bartola Villarreal, su hija","9","9.1","1803","Girón","Decisión metodológica","AGNSC.194913812-8491013A","Estupro","Estrupo"
"1013","1013B","Causa seguida Manuel Villarreal, por estupro incestuoso con María Bartola Villarreal, su hija","9","9.3","1803","Girón","Decisión metodológica","AGNSC.194913812-8491013B","Estupro","Incesto"
"1014","1014A","Sumario instruido por Juan Dionisio Plata, alcalde de Oiba, a Felipe Cepeda, por el comicio de Juan Galbán, y petición de indulto para el reo, de Isabel María de Arciniegas, viuda de occiso, en consideración de haberlo perdonado ella","1","1.1","1772","Oiba","Perfectos","AGNSC.194915938-9841014A","Homicidio","Homicidio"
"1014","1014B","Sumario instruido por Juan Dionisio Plata, alcalde de Oiba, a Felipe Cepeda, por el comicio de Juan Galbán, y petición de indulto para el reo, de Isabel María de Arciniegas, viuda de occiso, en consideración de haberlo perdonado ella","35","35.1","1772","Oiba","Códigos señalados","AGNSC.194915938-9841014B","Petición de indulto","Indulto"
"1015","1015A","Nota del Alcalde de San Gil al virrey, sobre el indulto de Vicente Ulloa, solicitado por éste.","35","35.1","1809","San Gil","Códigos señalados","AGNSC.195011-31015A","Petición de indulto","Indulto"
"1015","1015B","Nota del Alcalde de San Gil al virrey, sobre el indulto de Vicente Ulloa, solicitado por éste.","28","28.4","1809","San Gil","Códigos señalados","AGNSC.195011-31015B","Tipo de documento diferente a sumario ","Notas"
"1015","1015C","Nota del Alcalde de San Gil al virrey, sobre el indulto de Vicente Ulloa, solicitado por éste.","33",,"1809","San Gil","Ambiguos","AGNSC.195011-31015C","Ambiguos","Delitos"
"1016","1016A","Francisco de la Parra, se querella por violación de su correspondencia, de Rodrigo de Cardenas, corregidor de Pamplona.","15","15.5","1575","Pamplona","Perfectos","AGNSC.195037-101016A","Juicio de residencia","Omisión de deberes del cargo "
"1017","1017A","Indagatorias que fueron tomadas a petición de Martín de Portilla, ex-alcalde de Ocaña, y referentes a su actuación en la causa seguida a Felipe Ortiz y Juana Carrasca, mujer de Pablo Coronel, por adulterio","10","10.1","1809","Ocaña","Perfectos","AGNSC.1950411-731017A","Concubinato","Concubinato"
